Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Dress_Type,Price_Category,Size_Count,Rating_Category,Dress_Type_Encoded
Yellow & Pink Floral Embroidered Ethnic Maxi Dress,Ethnovog,6339,0.0,0.0,6339.0,Maxi,Round Neck,0,0,Maxi,"XS, S, XXL",4,No,Poly Silk,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-yellow--pink-floral-embroidered-ethnic-maxi-dress/21232980/buy,Party Wear,Traditional,High,3,Low,3
Maroon & Black Floral Ethnic Maxi Dress,Vishudh,395,0.0,710.0,395.0,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,S,3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-maroon--black-floral-ethnic-maxi-dress/15637670/buy,Traditional,Traditional,Low,1,Low,3
Women Floral Embroidered Ethnic Dress,Sangria,1460,0.0,0.0,1460.0,Maxi,Round Neck,0,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,No,"Silk, Polyester",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-embroidered-ethnic-dress/36880465/buy,Party Wear,Traditional,High,5,Low,3
Floral Printed Maternity Ethnic Dress,True Shape,684,0.0,264.0,684.0,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/true+shape/true-shape-floral-printed-maternity-ethnic-dress/23972976/buy,Traditional,Traditional,Medium,5,Low,3
Floral Printed Cotton Anarkali Maternity Dress,MURLI KURTI,495,0.0,2100.0,495.0,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-cotton-anarkali-maternity-dress/30742492/buy,Casual,Traditional,Low,4,Low,3
Women Floral Printed V-Neck Empire Ethnic Dress,CTMTEX,490,0.0,367.0,490.0,Maxi,V-Neck,0,0,0,"S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/ctmtex/ctmtex-women-floral-printed-v-neck-empire-ethnic-dress/32183561/buy,Traditional,Traditional,Low,6,Low,3
Plus Size Floral Print Crepe Layered A-line Maxi Ethnic Dress,A PLUS BY AHALYAA,1674,0.0,804.0,1674.0,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"3XL, 4XL, 5XL, 6XL, 7XL",3,No,Crepe,https://www.myntra.com/ethnic-dresses/a+plus+by+ahalyaa/a-plus-by-ahalyaa-plus-size-floral-print-crepe-layered-a-line-maxi-ethnic-dress/23853060/buy,Traditional,Traditional,High,5,Low,3
Green & Pink Cotton Floral Ethnic Dress,GULAB CHAND TRENDS,734,0.0,367.0,734.0,Midi,V-Neck,0,Regular Sleeves,0,XXL,3,No,Cotton,https://www.myntra.com/ethnic-dresses/gulab+chand+trends/gulab-chand-trends-green--pink-cotton-floral-ethnic-dress/20860938/buy,Traditional,Traditional,Medium,1,Low,3
Floral Printed Tiered Fit & Flare Ethnic Dresses,KASYA,894,0.0,209.0,894.0,Midi,Shoulder Straps,0,0,0,"XS, S, M, L, XL, XXL",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/kasya/kasya-floral-printed-tiered-fit--flare-ethnic-dresses/29407270/buy,Traditional,Traditional,Medium,6,Low,3
White Floral Embroidered Ethnic Dress,KALINI,3599,0.0,24.0,3599.0,Knee Length,Round Neck,Three-Quarter Sleeves,Regular Sleeves,0,"S, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/kalini/kalini-white-floral-embroidered-ethnic-dress/19041586/buy,Party Wear,Traditional,High,3,Low,3
Women Floral Zari and Sequinned Embroidered Fit and Flare Dress,Sangria,1751,0.0,206.0,1751.0,Maxi,V-Neck,0,0,Maxi,"XS, M, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-zari-and-sequinned-embroidered-fit-and-flare-dress/26862720/buy,Party Wear,Traditional,High,4,Low,3
