Name,Brand,Price,Rating,Reviews,Discount,Length,Neck,Sleeve_Length,Sleeve_Style,Shape,Sizes_Available,Color_Count,Pocket,Material_&_Care,Product_Link,Category,Rating_Numeric,Reviews_Numeric,Sizes_Count,Discount_Percentage,Price_Per_Size,Rating_Score,Color_Category
Pure Cotton Floral Printed V-Neck Tie-Ups Mirror Work A-Line Sanganeri Ethnic Dress,Taavi,1536,4.3 | 26 Ratings,26 Ratings,1536,Midi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS, S, M, L, XL",3,Yes,Cotton,https://www.myntra.com/ethnic-dresses/taavi/taavi-pure-cotton-floral-printed-v-neck-tie-ups-mirror-work-a-line-sanganeri-ethnic-dress/36500138/buy,Traditional,4.3,26,5,0,307.2,4.3,Medium (3)
Floral Embroidered Maxi Pure Cotton Ethnic Dress,Divena,1399,4.2 | 50 Ratings,50 Ratings,1399,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,"XS
Rs. 1399, S
Rs. 1399, M
Rs. 1399, L
Rs. 1399, XL
Rs. 1399, XXL
Rs. 1399, 3XL
Rs. 1528, 5XL
Rs. 1528, 6XL
Rs. 1528",4,No,Cotton,https://www.myntra.com/ethnic-dresses/divena/divena-floral-embroidered-maxi-pure-cotton-ethnic-dress/24825720/buy,Party Wear,4.2,50,9,0,155.4444444,4.2,High (4)
Yellow & Pink Floral Embroidered Ethnic Maxi Dress,Ethnovog,6339,,,6339,Maxi,Round Neck,,,Maxi,"XS, S, XXL",4,No,Poly Silk,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-yellow--pink-floral-embroidered-ethnic-maxi-dress/21232980/buy,Party Wear,,,3,0,2113,,High (4)
Maroon & Black Floral Ethnic Maxi Dress,Vishudh,395,4.2 | 710 Ratings,710 Ratings,395,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,Maxi,S,3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/vishudh/vishudh-maroon--black-floral-ethnic-maxi-dress/15637670/buy,Traditional,4.2,710,1,0,395,4.2,Medium (3)
Women Floral Embroidered Ethnic Dress,Sangria,1460,,,1460,Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,No,"Silk, Polyester",https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-embroidered-ethnic-dress/36880465/buy,Party Wear,,,5,0,292,,High (4)
Floral Printed Maternity Ethnic Dress,True Shape,684,4.2 | 264 Ratings,264 Ratings,684,Midi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/true+shape/true-shape-floral-printed-maternity-ethnic-dress/23972976/buy,Traditional,4.2,264,5,0,136.8,4.2,High (4)
Floral Printed Cotton Anarkali Maternity Dress,MURLI KURTI,495,4.1 | 2.1k Ratings,2.1k Ratings,495,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-cotton-anarkali-maternity-dress/30742492/buy,Casual,4.1,2100,4,0,123.75,4.1,High (4)
Women Floral Printed V-Neck Empire Ethnic Dress,CTMTEX,490,4.1 | 367 Ratings,367 Ratings,490,Maxi,V-Neck,,,,"S, M, L, XL, XXL, 3XL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/ctmtex/ctmtex-women-floral-printed-v-neck-empire-ethnic-dress/32183561/buy,Traditional,4.1,367,6,0,81.66666667,4.1,High (4)
Plus Size Floral Print Crepe Layered A-line Maxi Ethnic Dress,A PLUS BY AHALYAA,1674,4.1 | 804 Ratings,804 Ratings,1674,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"3XL, 4XL, 5XL, 6XL, 7XL",3,No,Crepe,https://www.myntra.com/ethnic-dresses/a+plus+by+ahalyaa/a-plus-by-ahalyaa-plus-size-floral-print-crepe-layered-a-line-maxi-ethnic-dress/23853060/buy,Traditional,4.1,804,5,0,334.8,4.1,Medium (3)
Green & Pink Cotton Floral Ethnic Dress,GULAB CHAND TRENDS,734,4.4 | 367 Ratings,367 Ratings,734,Midi,V-Neck,,Regular Sleeves,,XXL,3,No,Cotton,https://www.myntra.com/ethnic-dresses/gulab+chand+trends/gulab-chand-trends-green--pink-cotton-floral-ethnic-dress/20860938/buy,Traditional,4.4,367,1,0,734,4.4,Medium (3)
Floral Printed Tiered Fit & Flare Ethnic Dresses,KASYA,894,4.6 | 209 Ratings,209 Ratings,894,Midi,Shoulder Straps,,,,"XS, S, M, L, XL, XXL",3,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/kasya/kasya-floral-printed-tiered-fit--flare-ethnic-dresses/29407270/buy,Traditional,4.6,209,6,0,149,4.6,Medium (3)
White Floral Embroidered Ethnic Dress,KALINI,3599,4.1 | 24 Ratings,24 Ratings,3599,Knee Length,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"S, XL, XXL",4,No,Cotton,https://www.myntra.com/ethnic-dresses/kalini/kalini-white-floral-embroidered-ethnic-dress/19041586/buy,Party Wear,4.1,24,3,0,1199.666667,4.1,High (4)
Women Floral Zari and Sequinned Embroidered Fit and Flare Dress,Sangria,1751,4.2 | 206 Ratings,206 Ratings,1751,Maxi,V-Neck,,,Maxi,"XS, M, XL, XXL",3,No,Georgette,https://www.myntra.com/ethnic-dresses/sangria/sangria-women-floral-zari-and-sequinned-embroidered-fit-and-flare-dress/26862720/buy,Party Wear,4.2,206,4,0,437.75,4.2,Medium (3)
Floral Printed Maxi Ethnic Dress,Biba,1039,4.1 | 62 Ratings,62 Ratings,1039,Maxi,Round Neck,,Regular Sleeves,Maxi,"S, M, L, XL, XXL",4,Yes,Polyester,https://www.myntra.com/ethnic-dresses/biba/biba-floral-printed-maxi-ethnic-dress/25073006/buy,Traditional,4.1,62,5,0,207.8,4.1,High (4)
Floral Printed Cotton Anarkali Maternity Dress,MURLI KURTI,495,4 | 1.4k Ratings,1.4k Ratings,495,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,,"M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/murli+kurti/murli-kurti-floral-printed-cotton-anarkali-maternity-dress/30742681/buy,Casual,4,1400,4,0,123.75,4,Medium (3)
Floral Ethnic A-Line Maxi Ethnic Dress,Gerua By Libas,439,4.2 | 226 Ratings,226 Ratings,439,Maxi,Round Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,XS,3,No,Silk,https://www.myntra.com/ethnic-dresses/gerua+by+libas/gerua-by-libas-floral-ethnic-a-line-maxi-ethnic-dress/21325200/buy,Party Wear,4.2,226,1,0,439,4.2,Medium (3)
FOXDX Women Floral Embroidered Anarkali Ethnic Dress,FoxDX,891,4.4 | 287 Ratings,287 Ratings,891,Maxi,Sweetheart Neck,,,Maxi,M,4,No,Georgette,https://www.myntra.com/ethnic-dresses/foxdx/foxdx-women-floral-embroidered-anarkali-ethnic-dress/38451535/buy,Party Wear,4.4,287,1,0,891,4.4,High (4)
Floral Embroidered A-Line Maxi Ethnic Dresses,Inddus,1606,4.2 | 194 Ratings,194 Ratings,1606,Maxi,Round Neck,Short Sleeves,,A-Line,"XS, S, M, L, XL, XXL",3,No,Net,https://www.myntra.com/ethnic-dresses/inddus/inddus-floral-embroidered--a-line-maxi-ethnic-dresses/30659051/buy,Party Wear,4.2,194,6,0,267.6666667,4.2,Medium (3)
Floral Printed Pure Cotton Fit & Flare Midi Dress,Rain & Rainbow,1147,4.4 | 279 Ratings,279 Ratings,1147,Midi,Mandarin Collar,Three-Quarter Sleeves,Regular Sleeves,,"S, M, L, XL, XXL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/rain+%26+rainbow/rain--rainbow-floral-printed-pure-cotton-fit--flare-midi-dress/29918666/buy,Casual,4.4,279,5,0,229.4,4.4,Medium (3)
Floral Printed A-Line Maxi Ethnic Dress With Belt,anayna,1497,4.5 | 3.7k Ratings,3.7k Ratings,1497,Maxi,V-Neck,Three-Quarter Sleeves,Regular Sleeves,A-Line,"XS, S, M, L, XL, XXL, 3XL",3,No,Cotton,https://www.myntra.com/ethnic-dresses/anayna/anayna-floral-printed-a-line-maxi-ethnic-dress-with-belt/30745318/buy,Traditional,4.5,3700,7,0,213.8571429,4.5,Medium (3)
Women Floral Printed Empire Ethnic Dress,Ahalyaa,1214,3.9 | 769 Ratings,769 Ratings,1214,Midi,V-Neck,,,,"XS, S, M, L, XL, XXL",3,No,Crepe,https://www.myntra.com/ethnic-dresses/ahalyaa/ahalyaa-women-floral-printed-empire-ethnic-dress/23814298/buy,Traditional,3.9,769,6,0,202.3333333,3.9,Medium (3)
Maroon Gold Floral Maxi Ethnic Dress Cut-Out with Tassels,Ethnovog,2513,,,2513,Maxi,Boat Neck,Three-Quarter Sleeves,,Maxi,"XS, M, XL, 3XL",4,No,Viscose Rayon,https://www.myntra.com/ethnic-dresses/ethnovog/ethnovog-maroon--gold-floral-maxi-ethnic-dress-cut-out-with-tassels/19791600/buy,Traditional,,,4,0,628.25,,High (4)
